API Name,S.No.,URI,Resp Code,New Resp Code,Class Name,New Response Code
ULinkClient,1,/ProfileManagement/AddBeneficiary,00000000,0000,ULinkSuccessException,0000
,,,59906002,6080,ULinkInternalServerErrorException,6080
,,,59903005,6071,ULinkInvalidReqDataException,6071
,,,50103003,6013,ULinkInSuifficientReqDataException,6013
,,,59903001,6068,ULinkInvalidPartnerCodeException,6068
,,,50108004,6035,ULinkSessionExpiredException,6035
,,,50105002,6020,ULinkUserPasswordMismatchException,6020
,,,59903008,6074,ULinkInvalidPayerException,6074
,,,59908013,6096,ULinkBeneNumberLimitExceededException,6096
,,,59903006,6072,ULinkInvalidCountryCodeException,6072
,,,50105008,6025,ULinkPayerRequiresBranchInfoException,6025
,,,59903007,6073,ULinkInvalidCurrencyException,6073
,,,,,, 
,2,/ProfileManagement/AddSendingMethod,00000000,,ULinkSuccessException,0000
,,,59903005,,ULinkInvalidReqDataException,6071
,,,59906002,,ULinkInternalServerErrorException,6080
,,,50103003,,ULinkInSuifficientReqDataException,6013
,,,59903001,,ULinkInvalidPartnerCodeException,6068
,,,50105002,,ULinkUserPasswordMismatchException,6020
,,,50108004,,ULinkSessionExpiredException,6035
,,,50105003,,ULinkUserNotActiveException,6021
,,,59903003,,ULinkInvalidSendingMethodException,6070
,,,51104001,,ULinkUserLimitExceededException,6047
,,,59903006,,ULinkInvalidCountryCodeException,6072
,,,59908003,,ULinkCreditCardNumberLimitExceededException,6086
,,,59908001,,ULinkBankAccountAlreadyExistsException,6084
,,,59908002,,ULinkBankAccountAlreadyAddedException,6085
,,,59908004,,ULinkDebitCardNumberLimitExceededExceptio,6087
,,,59908006,,ULinkCreditCardAlreadyExistsException,6089
,,,59908007,,ULinkDebitCardAlreadyExistsException,6090
,,,59908008,,ULinkCreditCardAlreadyAddedException,6091
,,,59908009,,ULinkDebitCardAlreadyAddedException,6092
,,,59908005,,ULinkSendingMethodNumberLimitExceededException,6088
,,,59908010,,ULinkCVVNotMatchException,6093
,,,59908011,,ULinkAVSNotMatchException,6094
,,,,,, 
,,,,,, 
,3,/Remittance/SendMoneyPreview,00000000,0000,ULinkSuccessException,0000
,,,59903005,6071,ULinkInvalidReqDataException,6071
,,,59906002,6080,ULinkInternalServerErrorException,6080
,,,50103003,6013,ULinkInSuifficientReqDataException,6013
,,,50108004,6035,ULinkSessionExpiredException,6035
,,,59903001,6068,ULinkInvalidPartnerCodeException,6068
,,,50105002,6020,ULinkUserPasswordMismatchException,6020
,,,59903002,6069,ULinkInvalidBeneIdException,6069
,,,59903007,6073,ULinkInvalidCurrencyException,6073
,,,51102903,6043,ULinkRemitterVelocityCheckException,6043
,,,50105003,6021,ULinkUserNotActiveException,6021
,,,59903003,6070,ULinkInvalidSendingMethodException,6070
,,,51107002,6061,ULinkTxnCaughtInVelocityRulesException,6061
,,,51104002,6048,ULinkUserBankAccountNotVerifiedException,6048
,,,51104003,6049,ULinkUserCreditCardNotVerifiedException,6049
,,,51104004,6050,ULinkUserDebitCardNotVerifiedException,6050
,,,51107001,6060,ULinkTxnInPaymentProcessingException,6060
,,,51102904,6044,,6044
,,,50105004,6022,ULinkUserSuspendedOrLockedException,6022
,,,51108002,6063,ULinkTxnAlreadyConfirmedException,6063
,,,51104001,6047,ULinkUserLimitExceededException,6047
,,,59905003,6078,ULinkBeneAdditionalFieldRequiredException,6078
,,,59905004,6079,ULinkTxnAdditionalFieldRequiredException,6079
,,,59906004,6081,ULinkApplicationException,6081
,,,19906005,6002,ULinkNoServiceException,6002
,,,19906002,6001,ULinkInvalidTokenException,6001
,,,,,, 
,4,/Remittance/SendMoneyConfirm,00000000,0000,ULinkSuccessException,0000
,,,59906002,6080,ULinkInternalServerErrorException,6080
,,,59903005,6071,ULinkInvalidReqDataException,6071
,,,50103003,6013,ULinkInSuifficientReqDataException,6013
,,,59903001,6068,ULinkInvalidPartnerCodeException,6068
,,,50108004,6035,ULinkSessionExpiredException,6035
,,,50105002,6020,ULinkUserPasswordMismatchException,6020
,,,59904001,6075,,6075
,,,59906005,6082,ULinkNetworkException,6082
,,,51103002,6046,ULinkInvalidTxnInternalReferenceException,6046
,,,50102010,6012,ULinkUserUICSentSuccessException,6012
,,,51102001,6039,ULinkDuplicateTxnException,6039
,,,51108001,6062,ULinkPaymentFailedException,6062
,,,59906005,6082,ULinkNetworkException,6082
,,,51102002,6040,ULinkTxnNotCreatedException,6040
,,,,,, 
,5,/Common/v3/PayerWithReceptionMethodsList,00000000,0000,ULinkSuccessException,0000
,,,59906002,6080,ULinkInternalServerErrorException,6080
,,,59903005,6071,ULinkInvalidReqDataException,6071
,,,50103003,6013,ULinkInSuifficientReqDataException,6013
,,,59903001,6068,ULinkInvalidPartnerCodeException,6068
,,,59903006,6072,ULinkInvalidCountryCodeException,6072
,,,59903007,6073,ULinkInvalidCurrencyException,6073
,,,,,, 
,6,/ProfileManagement/getUserId,,,, 
,,,,,, 
,7,/ProfileManagement/SendingMethodSummaryList,00000000,0000,ULinkSuccessException,0000
,,,59906002,6080,ULinkInternalServerErrorException,6080
,,,59903005,6071,ULinkInvalidReqDataException,6071
,,,50103003,6013,ULinkInSuifficientReqDataException,6013
,,,59903001,6068,ULinkInvalidPartnerCodeException,6068
,,,50108004,6035,ULinkSessionExpiredException,6035
,,,50105002,6020,ULinkUserPasswordMismatchException,6020
,,,,,, 
,8,/ProfileManagement/link/token/create,,,, 
,,,,,, 
,9,/Common/ExternalQuickQuotes,00000000,0000,ULinkSuccessException,0000
,,,59906002,6080,ULinkInternalServerErrorException,6080
,,,59903005,6071,ULinkInvalidReqDataException,6071
,,,50103003,6013,ULinkInSuifficientReqDataException,6013
,,,59903001,6068,ULinkInvalidPartnerCodeException,6068
,,,59903008,6074,ULinkInvalidPayerException,6074
,,,59903006,6072,ULinkInvalidCountryCodeException,6072
,,,59903007,6073,ULinkInvalidCurrencyException,6073
,,,,,, 
,10,/ProfileManagement/SendPlaidLinkDetails,,,, 
,,,,,, 
,11,/Common/PayerBranchDetails,00000000,0000,ULinkSuccessException,0000
,,,59906002,6080,ULinkInternalServerErrorException,6080
,,,59903005,6071,ULinkInvalidReqDataException,6071
,,,50103003,6013,ULinkInSuifficientReqDataException,6013
,,,59903001,6068,ULinkInvalidPartnerCodeException,6068
,,,59903008,6074,ULinkInvalidPayerException,6074
,,,,,, 
,12,/Common/TxUnhold,,,, 
,,,,,, 
,13,/Remittance/CancelTransaction,00000000,0000,ULinkSuccessException,0000
,,,59903005,6071,ULinkInvalidReqDataException,6071
,,,59906002,6080,ULinkInternalServerErrorException,6080
,,,50103003,6013,ULinkInSuifficientReqDataException,6013
,,,59903001,6068,ULinkInvalidPartnerCodeException,6068
,,,50108004,6035,ULinkSessionExpiredException,6035
,,,50105002,6020,ULinkUserPasswordMismatchException,6020
,,,51103001,6045,ULinkInvalidTxnNumberException,6045
,,,51104010,6056,ULinkTxnNotPayableException,6056
,,,51104011,6057,ULinkCancellationNotAllowedException,6057
,,,51102005,6042,ULinkTxnCancellationPendingException,6042
,,,51104012,6058,ULinkTxnNotInPendingStatusException,6058
,,,59906005,6082,ULinkNetworkException,6082
,,,51102004,6041,ULinkTxnAlreadyCancelledException,6041
,,,51104013,6059,ULinkTxnDoesNotExistException,6059
,,,,,, 
,14,/Remittance/SendMoneyPreview,59903005,,ULinkInvalidReqDataException,6071
,,,59906002,,ULinkInternalServerErrorException,6080
,,,50103003,,ULinkInSuifficientReqDataException,6013
,,,50108004,,ULinkSessionExpiredException,6035
,,,59903001,,ULinkInvalidPartnerCodeException,6068
,,,50105002,,ULinkUserPasswordMismatchException,6020
,,,59903002,,ULinkInvalidBeneIdException,6069
,,,59903007,,ULinkInvalidCurrencyException,6073
,,,51102903,,ULinkRemitterVelocityCheckException,6043
,,,50105003,,ULinkUserNotActiveException,6021
,,,59903003,,ULinkInvalidSendingMethodException,6070
,,,51107002,,ULinkTxnCaughtInVelocityRulesException,6061
,,,51104002,,ULinkUserBankAccountNotVerifiedException,6048
,,,51104003,,ULinkUserCreditCardNotVerifiedException,6049
,,,51104004,,ULinkUserDebitCardNotVerifiedException,6050
,,,51107001,,ULinkTxnInPaymentProcessingException,6060
,,,51102904,,,6044
,,,50105004,,ULinkUserSuspendedOrLockedException,6022
,,,51108002,,ULinkTxnAlreadyConfirmedException,6063
,,,51104001,,ULinkUserLimitExceededException,6047
,,,59905003,,ULinkBeneAdditionalFieldRequiredException,6078
,,,59905004,,ULinkTxnAdditionalFieldRequiredException,6079
,,,59906004,,ULinkApplicationException,6081
,,,19906005,,ULinkNoServiceException,6002
,,,19906002,,ULinkInvalidTokenException,6001
,,,,,, 
,15,/Remittance/SendMoneyConfirm,59906002,,ULinkInternalServerErrorException,6080
,,,59903005,,ULinkInvalidReqDataException,6071
,,,50103003,,ULinkInSuifficientReqDataException,6013
,,,59903001,,ULinkInvalidPartnerCodeException,6068
,,,50108004,,ULinkSessionExpiredException,6035
,,,50105002,,ULinkUserPasswordMismatchException,6020
,,,59904001,,,6075
,,,59906005,,ULinkNetworkException,6082
,,,51103002,,ULinkInvalidTxnInternalReferenceException,6046
,,,50102010,,ULinkUserUICSentSuccessException,6012
,,,51102001,,ULinkDuplicateTxnException,6039
,,,51108001,,ULinkPaymentFailedException,6062
,,,59906005,,ULinkNetworkException,6082
,,,51102002,,ULinkTxnNotCreatedException,6040
